VPRAŠANJE,Ajdovščina,Ankaran,Apače,Beltinci,Benedikt,Bistrica ob Sotli,Bled,Bloke,Bohinj,Borovnica,Bovec,Braslovče,Brda,Brezovica,Brežice,Cankova,Celje,Cerklje na Gorenjskem,Cerknica,Cerkno,Cerkvenjak,Cirkulane,Črenšovci,Črna na Koroškem,Črnomelj,Destrnik,Divača,Dobje,Dobrepolje,Dobrna,Dobrova - Polhov Gradec,Dobrovnik,Dol pri Ljubljani,Dolenjske Toplice,Domžale,Dornava,Dravograd,Duplek,Gorenja vas - Poljane,Gorišnica,Gorje,Gornja Radgona,Gornji Grad,Gornji Petrovci,Grad,Grosuplje,Hajdina,Hoče - Slivnica,Hodoš,Horjul,Hrastnik,Hrpelje - Kozina,Idrija,Ig,Ilirska Bistrica,Ivančna Gorica,Izola,Jesenice,Jezersko,Juršinci,Kamnik,Kanal,Kidričevo,Kobarid,Kobilje,Kočevje,Komen,Komenda,Koper,Kostanjevica na Krki,Kostel ,Kozje ,Kranj ,Kranjska Gora ,Križevci ,Krško ,Kungota ,Kuzma ,Laško ,Lenart,Lendava,Litija ,Ljubljana ,Ljubno ,Ljutomer ,Log - Dragomer ,Logatec ,Loška dolina ,Loški Potok ,Lovrenc na Pohorju ,Luče ,Lukovica ,Majšperk ,Makole ,Maribor,Markovci ,Medvode ,Mengeš ,Metlika ,Mežica ,Miklavž na Dravskem polju ,Miren - Kostanjevica ,Mirna ,Mirna Peč ,Mislinja,Mokronog - Trebelno ,Moravče ,Moravske Toplice ,Mozirje ,Murska Sobota ,Muta ,Naklo ,Nazarje ,Nova Gorica ,Novo mesto,Odranci ,Oplotnica ,Ormož ,Osilnica ,Pesnica ,Piran ,Pivka ,Podčetrtek ,Podlehnik ,Podvelka ,Poljčane ,Polzela ,Postojna ,Prebold ,Preddvor,Prevalje ,Ptuj ,Puconci ,Rače - Fram ,Radeče ,Radenci ,Radlje ob Dravi ,Radovljica ,Ravne na Koroškem ,Razkrižje ,Rečica ob Savinji ,Renče - Vogrsko ,Ribnica ,Ribnica na Pohorju ,Rogaška Slatina,Rogašovci ,Rogatec ,Ruše ,Selnica ob Dravi ,Semič ,Sevnica ,Sežana ,Slovenj Gradec ,Slovenska Bistrica ,Slovenske Konjice,Sodražica ,Solčava ,Središče ob Dravi ,Starše ,Straža ,Sveta Ana ,Sveta Trojica v Slovenskih goricah ,Sveti Andraž v Slovenskih goricah ,Sveti Jurij ob Ščavnici ,Sveti Jurij v Slovenskih goricah ,Sveti Tomaž ,Šalovci ,Šempeter - Vrtojba ,Šenčur,Šentilj,Šentjernej ,Šentjur ,Šentrupert ,Škocjan ,Škofja Loka ,Škofljica ,Šmarje pri Jelšah ,Šmarješke Toplice ,Šmartno pri Litiji ,Šmartno ob Paki ,Šoštanj ,Štore ,Tabor ,Tišina ,Tolmin,Trbovlje ,Trebnje ,Trnovska vas ,Trzin ,Tržič,Turnišče,Velenje,Velika Polana,Velike Lašče,Veržej,Videm,Vipava,Vitanje,Vodice,Vojnik,Vransko ,Vrhnika ,Vuzenica ,Zagorje ob Savi ,Zavrč ,Zreče,Žalec ,Železniki ,Žetale ,Žiri ,Žirovnica,Žužemberk
TRANSPARENTNOST DELOVANJA OBČINSKEGA SVETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali lahko iščem po sejah OS? ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ali obstaja poizkus kakršnega koli historičnega prikazovanja podatkov? (primeri: zgodovina glasovanj svetnika, vsa glasovanja skupaj, vsa glasovanja o okolju ...)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali ima občina objavljeno prečiščeno verzijo poslovnika,0,2,0,0,0,2,2,0,2,2,1,0,2,2,2,0,2,2,2,2,2,2,2,2,2,1,2,0,2,2,0,2,2,0,2,0,0,2,2,0,0,2,0,2,0,2,0,0,2,0,0,2,0,2,2,2,0,2,2,0,2,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,2,2,0,1,2,2,2,0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,0,0,0,2,0,2,2,2,2,0,2,0,0,2,2,2,2,2,0,2,0,2,2,0,0,0,0,1,0,2,2,1,0,0,0,0,1,2,2,0,0,2,2,0,2,2,2,2,2,2,0,1,2,0,2,0,2,2,0,0,0,0,0,2,0,2,2,2,2,0,2,0,1,2,0,2,2,2,2,2,0,2,2,0,2,0,2,2,0,2,2,2,2,2,0,0,2,2,2,2,0,1,1,2,2,2,1,2,2,2,0,2,2
SVETNIKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ali so javno objavljeni kontaktni podatki članov občinskega sveta (elektronski naslov, telefonska številka ...)? ",2,0,0,0,0,2,0,0,0,2,2,2,2,0,2,0,2,2,2,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2,0,0,2,0,0,0,2,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,2,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,2,0,2,0,2,2,2,0,2,0,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0
Ali je na podstrani mestnega sveta objavljena stranskarska pripadnost članov občinskega sveta?,2,2,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,0,2,0,2,0,0,2,2,2,0,2,2,2,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,0,0,2,2,0,0,2,2,0,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,0,2,2,0,2,0,2,2,0,2,2,0,2,2,2,0,0,2,2,2,2,0,2,2,2,2,2,2,0,2,2,0,0,0,2,0,0,2,0,2,2,2,2,2,0,2,2,0,0,0,0,2,2,0,0,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0,2,0,2,2,0,2,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,0,2,0,2,0,0,2,2,0,2,2,2
"Ali so na spletni strani občine objavljeni bolj podrobni osebni podatki o svetnikih (info o zaposlitvi, izobrazbi, mandatu ipd.)?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali so javno objavljeni podatki o članstvu v odborih in komisijah? ,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,0,0,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,2
"Ali so javno in ločeno objavljeni odgovori na pobude, predloge in vprašanja svetnikov?",2,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0
PRORAČUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali se proračun sprejema v zakonskem roku?,1,1,1,0.5,1,0.5,1,0.5,1,1,0.5,1,1,1,0.5,1,1,0.5,1,0,1,1,0.5,0.5,0.5,1,1,0,1,1,0.5,1,0.5,1,1,1,1,1,1,1,1,0,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0,0.5,1,1,1,1,1,1,0.5,1,1,0.5,1,1,0.5,1,1,1,1,1,1,0.5,1,0.5,0.5,1,0.5,0.5,1,1,0.5,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,0.5,1,0.5,1,0.5,1,1,1,1,0.5,0.5,1,1,1,0.5,1,1,1,1,0.5,0.5,1,0.5,1,1,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,0,1,1,0,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ali se proračun sprejema z enim ali dvema branjema?,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ali so predlogi proračunov pred prvim in drugim branjem javno objavljeni?,1,-1,0.5,0.5,0,0,0,1,0,0.5,0.5,0,1,0,0.5,-1,0,0,1,1,0,0.5,-1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,-1,0.5,0.5,0,0.5,0,-1,0,0.5,0,0.5,0.5,0.5,0,0,0.5,1,0.5,1,-1,0.5,0.5,0.5,1,-1,0,0.5,0,0,1,0.5,0.5,0,0,-1,1,0.5,0,0,1,0.5,0.5,0.5,0.5,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,-1,-1,0,-1,0.5,0.5,0,1,-1,-1,1,0.5,0.5,1,0.5,-1,0.5,0,0.5,-1,0.5,0,0.5,0,-1,0.5,1,0,-1,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,-1,0.5,0.5,0,0,0.5,0.5,0,-1,-1,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,1,0.5,0,0.5,0,0.5,0.5,0.5,0.5,1,0.5,0.5,-1,-1,0,0.5,0.5,0.5,-1,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5
Ali je predlog proračuna v strojno berljivem formatu?,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0
"Ali so javno objavljene izpisane spremembe, ki so nastale med prvim in drugim branjem predloga proračuna?",0,0,0.5,0,0,0,0,0,0,0,0.5,0,1,0,0.5,0,0,0,1,0.5,0,0,0,0,0.5,0,1,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,1,0,0,1,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0.5,1,0,0,1,0.5,1,0,0.5,0.5,0,0.5,1,0.5,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0
Ali se vsaj enkrat letno javno objavi poročilo o izvajanju proračuna?,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
Ali so predlogi rebalansov proračuna javno objavljeni?,1,0,0.5,0.5,0,0.5,1,1,0,0.5,0.5,0,1,0,0.5,0.5,0,0,1,1,0,0.5,0,0.5,0.5,0.5,1,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,1,1,0.5,1,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,1,0.5,0.5,0,0,0,1,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,1,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,0.5,0.5,0,0.5,0,0,0.5,0.5,0,1,0.5,0,1,0.5,0.5,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0.5,1,0,0,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5
Ali se rebalansi sprejemajo po rednem postopku?,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1
Ali je predlog rebalansa objavljen v strojno berljivem formatu?,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0
Ali je organizirana javna razprava glede predloga proračuna in ali je vabilo na javno razpravo objavljeno na spletnem mestu občine?,2,2,2,2,2,2,0,0,2,2,0,0,2,0,2,0,2,0,2,0,2,2,0,2,2,2,2,2,2,0,0,2,2,2,0,2,2,0,2,2,0,2,2,0,0,0,2,2,0,0,0,2,0,2,0,2,0,2,2,2,2,2,0,2,2,0,0,2,0,2,2,2,0,2,0,0,0,2,0,2,2,0,0,2,2,2,0,0,0,2,0,2,0,0,2,0,0,0,0,2,2,2,2,2,0,0,0,0,2,0,2,0,2,0,2,2,0,2,0,0,0,0,2,2,0,2,2,2,2,0,0,2,2,0,0,2,0,2,2,2,2,0,0,2,2,0,2,2,0,2,0,0,0,0,0,2,0,0,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,0,2,0,0,2,0,0,2,2,0,0,2,0,2,2,2,0,0,0,0,2,0,0,2,2,2,2,0,2,0,0,0,2,0,2,2,2
Koliko časa traja javna razprava?,1,1,1,1,2,2,0,0,1,1,0,0,1,1,1,0,1,0,1,0,2,1,0,2,0.5,1,1,2,2,0,0,1,1,0,0,1,1,0,2,2,0,1,2,0,0,0,1,2,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,2,0,1,1,1,0,1,0,0,0,2,0,1,1,0,2,1,1,1,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,1,1,1,0,0,0,0,2,0,1,0,2,0,1,1,1,1,0,0,0,0,1,2,0,1,2,1,0,0,0,2,1,0,0,2,0,1,1,2,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,2,1,1,0,1,2,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,2,2
Ali so rezultati javne razprave javno objavljeni?,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
Je proračun javno in samostojno objavljen na spletni strani?,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,-1,-1,0.5,0.5,0.5,0.5,-1,-1,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,-1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,-1,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,-1,0.5,-1,0.5,0.5,0.5,0.5,-1,0.5,0.5,-1,-1,0.5,0.5,0.5,-1,0,0.5,0.5,0.5,0.5,0,0.5,0.5,-1,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,-1,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0,0.5,0.5,-1,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,-1,0.5,0.5,0,0.5,0.5,-1,0,0.5,0.5,-1,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,-1,-1,0.5,0,0,0.5,0.5,0.5,0.5,-1,0.5,-1,0.5,0.5,-1,-1,0.5,0.5,0.5
